"จำนวนครัวเรือนที่คนในครัวเรือนมีรายได้เฉลี่ยน้อยกว่า 30,000 บาท ต่อคนต่อปี จากข้อมูลความจำเป็นพื้นฐาน (จปฐ.) ปี 2555 - 2558",,,,,,,,,,,,,
,,,,,,,,,,,,,
ที่,จังหวัด,ปี 2558,,,ปี 2557,,,ปี 2556,,,ปี 2555,,
,,จำนวนครัวเรือนทั้งหมดที่สำรวจ,"ครัวเรือนที่มีรายได้เฉลี่ย/คน/ปี น้อยกว่า 30,000 บาท",,จำนวนครัวเรือนทั้งหมดที่สำรวจ,"ครัวเรือนที่มีรายได้เฉลี่ย/คน/ปี น้อยกว่า 30,000 บาท",,จำนวนครัวเรือนทั้งหมดที่สำรวจ,"ครัวเรือนที่มีรายได้เฉลี่ย/คน/ปี น้อยกว่า 30,000 บาท",,จำนวนครัวเรือนทั้งหมดที่สำรวจ,"ครัวเรือนที่มีรายได้เฉลี่ย/คน/ปี น้อยกว่า 30,000 บาท",
,,จำนวน (ครัวเรือน),จำนวน (ครัวเรือน),ร้อยละ,จำนวน (ครัวเรือน),จำนวน (ครัวเรือน),ร้อยละ,จำนวน (ครัวเรือน),จำนวน (ครัวเรือน),ร้อยละ,จำนวน (ครัวเรือน),จำนวน (ครัวเรือน),ร้อยละ
1,กระบี่," 90,523 ", 365 ,0.4," 88,833 ", 218 ,0.25," 67,576 ", 50 ,0.07," 66,708 ", 364 ,0.55
2,กาญจนบุรี," 156,721 ", 24 ,0.02," 149,166 ", 3 ,0.00," 108,796 ", - ,-," 107,689 ", 56 ,0.05
3,กาฬสินธุ์," 205,284 ", 671 ,0.33," 201,302 "," 1,218 ",0.61," 154,804 "," 1,445 ",0.93," 153,819 "," 1,419 ",0.92
4,กำแพงเพชร," 151,561 ", 271 ,0.18," 144,940 ", 548 ,0.38," 113,827 ", 83 ,0.07," 112,786 ", 181 ,0.16
5,ขอนแก่น," 338,432 "," 1,771 ",0.52," 330,084 "," 1,900 ",0.58," 245,632 "," 3,127 ",1.27," 254,520 "," 6,692 ",2.63
6,จันทบุรี," 99,639 "," 1,194 ",1.2," 98,108 "," 1,475 ",1.50," 71,534 ", 286 ,0.40," 70,737 ", 379 ,0.54
7,ฉะเชิงเทรา," 145,392 ", 380 ,0.26," 144,216 ", 275 ,0.19," 89,440 ", 49 ,0.05," 86,972 ", 75 ,0.09
8,ชลบุรี," 321,403 ", 299 ,0.09," 301,091 ", 518 ,0.17," 81,641 ", 4 ,0.00," 81,154 ", 26 ,0.03
9,ชัยนาท," 88,747 ", 530 ,0.6," 87,981 ", 354 ,0.40," 65,110 ", 47 ,0.07," 64,213 ", 110 ,0.17
10,ชัยภูมิ," 262,012 ", 400 ,0.15," 261,059 ", 599 ,0.23," 179,864 ", 614 ,0.34," 179,491 "," 2,799 ",1.56
11,ชุมพร," 101,288 ", - ,-," 99,745 ", 3 ,0.00," 82,671 ", 8 ,0.01," 81,749 ", 17 ,0.02
12,เชียงราย," 297,147 ", 817 ,0.27," 296,787 ", 550 ,0.19," 192,778 ", 673 ,0.35," 193,121 "," 2,063 ",1.07
13,เชียงใหม่," 379,213 ", 931 ,0.25," 365,797 ", 551 ,0.15," 255,366 ", 972 ,0.38," 254,282 "," 2,704 ",1.06
14,ตรัง," 133,592 ", 253 ,0.19," 130,116 ", 293 ,0.23," 100,815 ", 6 ,0.01," 100,282 ", 46 ,0.05
15,ตราด," 48,010 ", 44 ,0.09," 46,857 ", 19 ,0.04," 29,683 ", - ,-," 29,417 ", 24 ,0.08
16,ตาก," 119,561 ", 645 ,0.54," 117,668 "," 1,743 ",1.48," 73,435 "," 1,026 ",1.40," 72,394 "," 3,190 ",4.41
17,นครนายก," 56,512 ", 32 ,0.06," 55,598 ", 33 ,0.06," 44,957 ", 46 ,0.10," 44,633 ", 108 ,0.24
18,นครปฐม," 157,210 ", - ,-," 145,954 ", - ,-," 117,915 ", 1 ,0.00," 121,431 ", 303 ,0.25
19,นครพนม," 167,167 ", 122 ,0.07," 166,573 ", 538 ,0.32," 117,058 "," 1,326 ",1.13," 116,101 "," 8,080 ",6.96
20,นครราชสีมา," 669,011 "," 1,808 ",0.27," 666,055 "," 2,092 ",0.31," 398,635 "," 2,135 ",0.54," 393,605 "," 5,129 ",1.30
21,นครศรีธรรมราช," 318,805 "," 4,520 ",1.42," 313,547 "," 3,598 ",1.15," 235,534 "," 1,528 ",0.65," 232,835 "," 4,606 ",1.98
22,นครสวรรค์," 254,551 "," 1,316 ",0.52," 235,085 ", 956 ,0.41," 172,267 ", 150 ,0.09," 168,157 ", 406 ,0.24
23,นนทบุรี," 153,518 "," 1,395 ",0.91," 118,184 "," 1,058 ",0.90," 62,145 ", - ,-," 61,801 ", - ,-
24,นราธิวาส," 143,181 ", 517 ,0.36," 145,689 ", 812 ,0.56," 90,159 ", 282 ,0.31," 89,702 ", 948 ,1.06
25,น่าน," 110,609 ", 965 ,0.87," 109,889 ", 842 ,0.77," 92,780 ", 751 ,0.81," 92,571 "," 2,132 ",2.30
26,บึงกาฬ," 90,899 ", 304 ,0.33," 90,684 ", 302 ,0.33," 57,703 ", 430 ,0.75," 57,188 ", 636 ,1.11
27,บุรีรัมย์," 340,495 "," 1,689 ",0.5," 339,443 "," 2,082 ",0.61," 233,612 "," 2,756 ",1.18," 230,459 "," 3,865 ",1.68
28,ปทุมธานี," 221,965 ", 668 ,0.3," 167,302 ", 293 ,0.18," 77,390 ", - ,-," 99,016 ", 106 ,0.11
29,ประจวบคีรีขันธ์," 107,712 ", 675 ,0.63," 98,350 ", 467 ,0.47," 62,864 ", 53 ,0.08," 63,038 ", 600 ,0.95
30,ปราจีนบุรี," 112,936 ", 42 ,0.04," 111,968 ", 38 ,0.03," 78,229 ", 8 ,0.01," 77,553 ", 230 ,0.30
31,ปัตตานี," 124,856 "," 2,829 ",2.27," 120,329 "," 1,944 ",1.62," 85,141 "," 1,614 ",1.90," 81,538 "," 2,701 ",3.31
32,พระนครศรีอยุธยา," 177,442 ", 522 ,0.29," 163,675 ", 488 ,0.30," 107,299 ", 17 ,0.02," 105,371 ", 100 ,0.09
33,พะเยา," 117,529 "," 1,635 ",1.39," 116,713 "," 2,127 ",1.82," 87,357 "," 2,398 ",2.75," 85,966 "," 5,254 ",6.11
